0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.10694895,-0.1628418,0.2247529,0.12351164,-0.21727112,-0.16665018,-0.01137319,-0.11550081,-0.3355892,0.15852226,0.2241122,-0.17611305,-0.15078199,-0.0068540806,-0.1884922,-0.1734909
-0.11660628,-0.193711,-0.18391326,-0.018088633,0.31108966,-0.03887518,0.18139654,0.35239217,-0.23984638,0.1410627,0.1924239,-0.21112323,0.38174206,-0.16832057,-0.027145559,-0.26997542
0.20751362,-0.109258935,0.16196425,0.38663897,0.13868274,0.19856378,-0.12173987,0.03588915,-0.1420925,0.24914728,0.008871982,0.23780969,0.14350875,0.2572634,0.07541419,-0.13919234
0.2628538,0.26992577,0.17261045,0.15627643,-0.31486303,0.24933483,0.2336326,-0.08404987,0.094223544,-0.08158288,0.021660175,0.0015656706,0.124401934,0.020922463,0.07474588,0.16429856
-0.24692447,-0.29691046,-0.27581495,-0.07362421,-0.04102565,0.067968465,0.20956574,-0.3345183,0.16635919,-0.08228319,-0.23140861,-0.24425216,0.058115326,0.09191965,-0.07510554,-0.101406366
-0.033947516,-0.046311196,0.29226556,0.12900686,0.1239657,-0.10626156,-0.072409205,0.17049836,0.3401149,-0.09860744,0.22292833,-0.18939918,-0.03537994,-0.101941414,0.11549715,-0.17438258
-0.05459043,0.21305068,-0.1479816,-0.21637194,0.11037735,0.18570277,0.18753888,-0.12114582,-0.24166259,0.19839512,-0.2581573,0.2382711,-0.075703,0.18006429,0.26951477,-0.0030426274
-0.13406661,-0.13736942,-0.08270363,0.23458736,-0.20093898,-0.22137488,-0.05159045,-0.084232,-0.083536975,0.029107377,0.25210178,-0.30094126,0.32037446,0.00019699948,-0.19813491,0.20426093
0.09472359,0.0006712649,0.12843847,-0.22593819,0.3289135,0.3248525,-0.265306,-0.10506614,-0.23294298,-0.17189865,0.3144801,-0.005638096,0.0631741,0.0261603,-0.19267479,-0.0016471462
-0.23448318,-0.11349492,0.23068272,-0.16620576,0.08972085,-0.24503447,-0.13533363,-0.16426809,-0.24343646,-0.14787495,0.07611702,0.16305779,0.010019154,-0.27695212,0.1435303,0.28165218
-0.077588,0.28427038,-0.11714427,0.27007407,-0.09647595,-0.16279083,-0.20763156,0.23138487,-0.08755595,0.20901664,-0.25613695,0.19097829,-0.07971666,0.21648195,-0.23510276,0.048307613
0.13673386,-0.052585658,0.21304666,-0.2093043,0.059857573,-0.017178822,0.11505329,0.28179708,0.26211017,-0.1722415,-0.3145213,-0.12717068,-0.19598842,0.032666475,-0.11675636,0.23707852
0.0032210124,0.2128013,-0.29174346,-0.1556032,0.29952982,-0.3077411,-0.041578043,0.029320039,0.19157298,-0.23668706,-0.17652246,0.25107536,-0.1123636,-0.31233168,-0.30934078,0.2510653
-0.18468702,-0.08924613,-0.35683575,0.03575227,-0.19054885,-0.11868486,0.053010967,0.26360056,0.2753009,0.38097557,0.13483746,0.14105043,-0.29271606,-0.04145008,0.106134534,-0.21218748
0.14268263,-0.10408566,-0.114078194,-0.099875964,-0.17988425,-0.27324203,-0.3368027,-0.2594391,-0.060501553,-0.25675827,-0.04769651,0.32367808,0.083992705,0.23995575,0.21905136,-0.20322417
-0.2538707,0.16954061,-0.0034275153,0.2601775,-0.18223162,0.38458824,0.19584414,-0.19846255,-0.12767254,-0.12790556,0.32814556,0.27139673,-0.29719865,-0.23474422,-0.22398652,-0.100491896
-0.17455855,0.05994121,-0.10821711,0.09006127,0.09209707,-0.043140188,0.17695725,0.32856718,0.14557293,-0.17542052,-0.1280428,0.2903937,0.27149147,0.19270322,0.33002523,0.043799397
0.24683681,0.0023362166,-0.22107409,-0.2794227,-0.020866496,0.32603672,-0.06461816,0.1769114,0.0034827315,0.046106946,0.2871301,-0.19347265,-0.22873163,0.27842548,0.12264777,0.15721107
0.22303995,0.34236878,0.28649753,-0.19396795,0.24718995,0.09297504,-0.22173592,-0.25908643,-0.14831735,0.2981683,-0.18239458,0.20148279,0.36353645,-0.27936947,-0.23965433,-0.28215665
0.34921855,-0.10211799,-0.17926091,-0.24949107,-0.011165445,0.26891157,-0.2163352,-0.24450374,0.016099457,-0.06313336,-0.14785555,-0.3247733,-0.2487794,-0.3675871,-0.08419431,-0.1580336
